num_recs	metric_one	precision	recall
1	0.01714	0.01714	0.0127247620603
2	0.033965	0.01699	0.0249153114047
3	0.05125	0.01709	0.0371223146599
4	0.068025	0.01701375	0.0486839140279
5	0.08547	0.017106	0.0604294283474
6	0.10293	0.0171683333333	0.0718916844052
7	0.119575	0.0170985714286	0.0825715921713
8	0.13677	0.017116875	0.093357876975
9	0.15352	0.0170811111111	0.103621669352
10	0.17036	0.017062	0.11371179505
